web-scraper-order,web-scraper-start-url,category-link,category-link-href,subcategory-sneakers,subcategory-sneakers-href,product-sneakers-link,product-sneakers-link-href,product_sneakers_name,product_sneakers_price,product_sneakers_description,product_sneakers_image-src,product_sneakers_style,,,
1720489220-1,https://stockx.com/collectibles,Designer,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 350 V2 SlateLowest AskCA$318,https://stockx.com/adidas-yeezy-boost-350-v2-slate-core-black-slate,adidas Yeezy Boost 350 V2Slate,318.00,"The adidas Yeezy Boost 350 V2 Slate Core Black Slate takes on a sock like design that is complemented with a neutral two-tone color scheme.




The Yeezy Boost 350 by adidas in black upper utilizes tan Primeknit construction, highlighted by distinctive center stitching down the vamp. A contrasting black streak adorns the lateral side with signature ‘SPLY-350’ branding. The shoe sits atop a Boost midsole, confined in a semi-translucent TPU cage for durability and support.




The adidas Yeezy Boost 350 V2 Slate Core Black Slate was originally released on the 3rd of September 2022, and initially retailed at $230.",https://images.stockx.com/360/adidas-Yeezy-Boost-350-V2-Slate-Core-Black-Slate/Images/adidas-Yeezy-Boost-350-V2-Slate-Core-Black-Slate/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1708062552&h=384&q=60,HP7870,,,
1720489224-2,https://stockx.com/collectibles,Designer,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Slide Resin (2022)Lowest AskCA$120,https://stockx.com/adidas-yeezy-slide-resin-2022,adidas Yeezy SlideResin (2022/2024),120.00,"The adidas Yeezy Slide Resin 2022 is the result from a collaboration between American rapper Kanye West´s brand and German sport and lifestyle manufacturer adidas.




The 2022 Resin Slide is crafted from injected-molded EVA foam. The one-piece build sandal features a pale green finish throughout the lightly textured exterior. Branding is displayed on a tonal adidas logo debossed on the soft footbed. Underfoot, deep horizontal ridges cut throughout the sandal outsole, resulting in an sawtooth pattern for grip.




The adidas Yeezy Slide Resin 2022 was first released on the 24th of September 2022, and originally had a retail price of $70.",https://images.stockx.com/360/adidas-Yeezy-Slide-Resin-2022/Images/adidas-Yeezy-Slide-Resin-2022/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1664349751&h=384&q=60,FZ5904,,,
1720489227-3,https://stockx.com/collectibles,Designer,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 350 V2 Dazzling BlueLowest AskCA$331,https://stockx.com/adidas-yeezy-boost-350-v2-dazzling-blue,adidas Yeezy Boost 350 V2Dazzling Blue,331.00,"The adidas Yeezy 350 V2 Dazzling Blue is reminiscent of the 2016 Yeezy 350 V2 Black Friday Pack. Instead of featuring a marbled pattern and sheer side stripe, it opts for a solid black Primeknit upper and blue side stripe with ""SPLY-350"" text. At the base, a muted Boost sole offers comfort and support.




The adidas Yeezy 350 V2 Dazzling Blue released in February of 2022 and retailed for $220.",https://images.stockx.com/360/adidas-Yeezy-Boost-350-V2-Dazzling-Blue/Images/adidas-Yeezy-Boost-350-V2-Dazzling-Blue/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1703860136&h=384&q=60,GY7164,,,
1720489229-4,https://stockx.com/collectibles,Designer,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Desert Boot SaltLowest AskCA$167,https://stockx.com/adidas-yeezy-desert-boot-salt,adidas Yeezy Desert BootSalt,167.00,"The adidas Yeezy Desert Boot Salt, Influenced by military and utility design, was made available as part of Season 7 lineup collection.




This version was made of breathable mesh, suede, and nubuck with a Salt color palette. Its disassembled design lines are reminiscent of the 500 sneakers. Rubber outsoles are .finished in complementary colors. A 3M fluorescent nylon pull tab runs the entire length of the tongue's spine. A thick foam midsole with EVA cushioning and a serrated rubber outsole, both of which take on tonal colors dependent on the upper, complete the overall design.




The adidas Yeezy Desert Boot Salt first debuted on 14 September 2019 and retailed at $200.",https://images.stockx.com/360/adidas-Yeezy-Desert-Boot-Salt/Images/adidas-Yeezy-Desert-Boot-Salt/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1635171209&h=384&q=60,FV5677,,,
1720489234-5,https://stockx.com/collectibles,Designer,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy 350 V2 CMPCT Slate OnyxLowest AskCA$121,https://stockx.com/adidas-yeezy-350-v2-cmpct-slate-onyx,adidas Yeezy 350 V2 CMPCTSlate Onyx,121.00,"The adidas Yeezy 350 V2 CMPCT Slate Onyx features a PrimeKnit canvas characterized by a combination of black and gray tones, all of which sit atop a black sole equipped with cushioning Boost technology.


The Slate Onyx adidas Yeezy 350 V2 CMPCT showcases a neutral colorway with an upper woven from black and gray threads, boasting an engineered 3D knit construction that offers lightweight support and a snug fit. Moreover, it boasts a flexible sock-like collar and easy-to-wear no-tie elastic laces for added convenience. The sneaker's foundation consists of a full-length Boost midsole, enclosed within a semi-translucent TPU cage, and reinforced by a robust rubber outsole – delivering both durability and comfort for a satisfying footwear experience.


What our experts love about the adidas Yeezy 350 V2 CMPCT Slate Onyx is its 3D knit upper, which not only provides a unique and eye-catching aesthetic, but also offers a lightweight and supportive fit. The sneaker was released on August 4th, 2023, for $230.",https://images.stockx.com/360/adidas-Yeezy-350-V2-CMPCT-Slate-Onyx/Images/adidas-Yeezy-350-V2-CMPCT-Slate-Onyx/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1692211785&h=384&q=60,IG9606,,,
1720489236-6,https://stockx.com/collectibles,Designer,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy 500 Utility BlackLowest AskCA$281,https://stockx.com/adidas-yeezy-500-utility-black,adidas Yeezy 500Utility Black (2018/2023),281.00,"The hiking-inspired adidas Yeezy 500 Utility Black features a durable black mesh and suede upper that is prime for daily wear. From there, a sculptural adiPRENE sole offers responsiveness and support.




The adidas Yeezy 500 Utility Black originally released in July of 2018 for $200, and then restocked in November of 2020 and November of 2021.",https://images.stockx.com/360/adidas-Yeezy-500-Utility-Black/Images/adidas-Yeezy-500-Utility-Black/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1634933445&h=384&q=60,F36640,,,
1720489239-7,https://stockx.com/collectibles,Designer,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Slide Pure (Restock Pair)Lowest AskCA$156,https://stockx.com/adidas-yeezy-slide-pure-restock-pair,adidas Yeezy SlidePure (Restock Pair),156.00,"DISCLAIMER: US and UK sizing is the same and does not require any conversion.

The adidas Yeezy Slide Pure (Restock Pair) features a slightly different composition than the original adidas Yeezy Slide Pure that debuted in the spring of 2021. Instead of a smooth EVA foam construction, it has a pebbled, more textural touch. At the base, a grooved sole and cushioned footbed completes the design.




The adidas Yeezy Slide Pure (Restock Pair) released in December of 2021 and retailed for $60.




To shop the original adidas Yeezy Slide Pure, click here.",https://images.stockx.com/360/adidas-Yeezy-Slide-Pure-Restock-Pair/Images/adidas-Yeezy-Slide-Pure-Restock-Pair/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1641244479&h=384&q=60,GW1934,,,
1720489242-8,https://stockx.com/collectibles,Designer,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Foam RNNR SandLowest AskCA$218,https://stockx.com/adidas-yeezy-foam-rnnr-sand,adidas Yeezy Foam RNNRSand,218.00,"DISCLAIMER: US and UK sizing is the same and does not require any conversion. 

 


The adidas Yeezy Foam RNNR Sand arrives in a Sand monochromatic color scheme. Its one-piece sculpted upper with oval cut-outs provide a futuristic aesthetic to complete the design.




The adidas Yeezy Foam RNNR Sand released in May of 2021 and retailed for $75.",https://images.stockx.com/360/adidas-Yeezy-Foam-RNNR-Sand/Images/adidas-Yeezy-Foam-RNNR-Sand/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1634932321&h=384&q=60,FY4567,,,
1720489244-9,https://stockx.com/collectibles,Designer,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 350 V2 Core Black Red (2016/2022/2023)Lowest AskCA$285,https://stockx.com/adidas-yeezy-boost-350-v2-core-black-red,adidas Yeezy Boost 350 V2Core Black Red (2016/2022/2023),285.00,"If anyone is discussing what's hotter than the earth's core, then the adidas Yeezy Boost 350 V2 Core Red must be a part of the discussion. Bringing hot lava vibes, these come with a core black upper and sole. There's also a core black ""SPLY-350"" branding across a scorching hot core red stripe on both sides. These dropped in November 2016 and retailed at $220. Add more sauce to your sneaker collection and buy now on StockX.",https://images.stockx.com/360/adidas-Yeezy-Boost-350-V2-Core-Black-Red/Images/adidas-Yeezy-Boost-350-V2-Core-Black-Red/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1704900487&h=384&q=60,BY9612,,,
1720489247-10,https://stockx.com/collectibles,Designer,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 700 MNVN GeodeLowest AskCA$179,https://stockx.com/adidas-yeezy-boost-700-mnvn-geode,adidas Yeezy Boost 700 MNVNGeode,179.00,"The adidas Yeezy Boost 700 MNVN Geode is a collaboration product between adidas and music icon Kanye West’s Yeezy brand. Initially released as a Yeezy supply exclusive in 2021, this colorway had a wider launch in Spring 2022.




Unique in appearance, this colorway features a lilac nylon upper, with the 700 branding on the lateral side. It also features tongues, laces, and a collar done in a charcoal hue. These highlights lie atop an enclosed Boost Black Sole Unit. 




The adidas Yeezy Boost 700 MNVN Geode was widely launched on the 19th of April, 2022. At the time of its release, this shoe commanded a retail price of $220.",https://images.stockx.com/360/adidas-Yeezy-Boost-700-MNVN-Geode/Images/adidas-Yeezy-Boost-700-MNVN-Geode/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1650622446&h=384&q=60,GW9526,,,
