web-scraper-order,web-scraper-start-url,category,category-href,product,product-href,product_name,product_description,product_price,product_color,product_image-src,sub_category
1720555611-1,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Fear of God Essentials Hoodie Jet BlackLowest AskCA$89,https://stockx.com/fear-of-god-essentials-hoodie-jet-black,Fear of God Essentials Hoodie,"The Fear of God Essentials hoodie provides volume in the body and sleeves with the intent of creating a soft, round, cropped silhouette. A mock neckline and side seam pockets to provide functionality. The Fear of God Essentials Fear of God logo is sized subtly at the center front in a rubberized soft-touch applique, and a Fear of God rubberized label is on the hood.",89,Jet Black,https://images.stockx.com/images/Fear-of-God-Essentials-Hoodie-Jet-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1697670873&q=60,Fear of God
1720555613-2,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Supreme Hanes Boxer Briefs (4 Pack) BlackLowest AskCA$81,https://stockx.com/supreme-hanes-boxer-briefs-black,Supreme Hanes Boxer Briefs (4 Pack),"Please note: sellers must ship this item in it's original packaging. Looking for a new subtle flex? Supreme has been collaborating with Hanes on branded basics for years, delivering boxer briefs, tagless tee shirts, and socks for anyone looking to upgrade their basics. The black boxer briefs are a classic pair of Hanes boxer briefs with Supreme’s classic heavy futura oblique font on the waistband. This 4-pack retailed for $40 and has released numerous times throughout the years. Place a bid today to take your basics to the next level.",81,NA,https://images.stockx.com/images/Supreme-Hanes-Boxer-Briefs-Black-v3.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1701980204&q=60,Supreme
1720555616-3,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Fear of God Essentials Tee Cloud DancerLowest AskCA$51,https://stockx.com/fear-of-god-essentials-tee-cloud-dancer,Fear of God Essentials Tee,The Fear of God Essentials tee shirt returns to a classic crew neckline while maintaining the relaxed proportions in the body and sleeves. The Fear of God Essentials Fear of God logo is sized subtly in a rubberized soft-touch applique. A Fear of God rubberized label is at the back collar.,51,Cloud Dancer,https://images.stockx.com/images/Fear-of-God-Essentials-Tee-Cloud-Dancer.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1697670870&q=60,Fear of God
1720555618-4,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Eric Emanuel EE Basic Short Black SkylineLowest AskCA$207,https://stockx.com/eric-emanuel-ee-basic-short-black-skyline,Eric Emanuel EE Basic Short,"The Eric Emanuel EE Basic Short Black Skyline produces sportswear styles and features an updated slimmed-down silhouette. The shorts are made of 100% polyester mesh material.




The Eric Emanuel EE Basic Short Black Skyline is black and has a ribbed inner waistband and taping on the side seam. They are found in different sizes ranging from extra-large to small and are designed in a way that they fit on top of the knee. The shorts also have two pockets on each side to fit small objects. 




Eric Emanuel EE Basic Short Black Skyline was released on 25th April 2022 for $100 a pair in retail.",207,Black Skyline,https://images.stockx.com/images/Eric-Emanuel-EE-Basic-Short-Black-Skyline.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1650039316&q=60,Eric Emanuel
1720555621-5,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Nike Sportswear Tech Fleece Full-Zip Hoodie & Joggers Set Black/BlackLowest AskCA$245,https://stockx.com/nike-sportswear-tech-fleece-full-zip-hoodie-joggers-set-black-black,Nike Sportswear Tech Fleece Full-Zip Hoodie & Joggers Set,"The Nike Sportswear Tech Fleece Full-Zip Hoodie & Joggers Set Black/Black was released in an all-black color scheme with the Nike logo on both pieces.



 
The Sportswear Tech Fleece Full-Zip Hoodie & Joggers Set Black/Black hoodie features two pieces, a hoodie, and joggers. The hoodie boosts a full zip closure with a high collar and adjustable hood to provide extra protection from the elements. It also has zippered pockets that offer ample storage for your essentials. The joggers have a tapered design and ribbed ankle line. They have an elastic waistband with a drawstring to ensure a customizable fit. The joggers also feature a zippered pocket on one side and a normal pocket on the other.



 
We especially love the set for its material construction. The main material used is a lightweight and breathable poly-cotton blend fleece, with a small percentage of spandex added for flexibility. The Nike Sportswear Tech Fleece Full-Zip Hoodie & Joggers Set Black/Black was released on September 1st, 2023, at a retail price of $270.",245,Black/Black,https://images.stockx.com/images/Nike-Sportswear-Tech-Fleece-Full-Zip-Hoodie-Joggers-Set-Black-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1694532792&q=60,Nike Apparel
1720555623-6,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Fear of God Essentials Sweatpants (SS22) Dark OatmealLowest AskCA$81,https://stockx.com/fear-of-god-essentials-sweatpants-ss22-dark-oatmeal,Fear of God Essentials Sweatpants (SS22),"The Fear of God Essentials Sweatpants (SS22) Dark Oatmeal come in a dark oatmeal colorway, and are made out of a cotton and polyester blend.




These sweatpants have a relaxed yet tapered shape that features cuffed bottoms, an enclosed drawstring at the elastic waistband, a seam two-pocket styling, and a mid-rise. Rubberized branding can be seen on the waist area below the drawstring as well as an ""Essentials Fear of God"" insignia on the left leg.




The Fear of God Essentials Sweatpants (SS22) Dark Oatmeal first became available on the 15th of June 2021. The retail price was set at $90.",81,Dark Oatmeal,https://images.stockx.com/images/Fear-of-God-Essentials-Sweatpants-SS22-Dark-Oatmeal.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1655316458&q=60,Fear of God
1720555625-7,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Fear of God Essentials Hoodie Cloud DancerLowest AskCA$84,https://stockx.com/fear-of-god-essentials-hoodie-cloud-dancer,Fear of God Essentials Hoodie,"The Fear of God Essentials hoodie provides volume in the body and sleeves with the intent of creating a soft, round, cropped silhouette. A mock neckline and side seam pockets to provide functionality. The Fear of God Essentials Fear of God logo is sized subtly at the center front in a rubberized soft-touch applique, and a Fear of God rubberized label is on the hood.",84,Cloud Dancer,https://images.stockx.com/images/Fear-of-God-Essentials-Hoodie-Cloud-Dancer.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1697670886&q=60,Fear of God
1720555628-8,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,KAWS x Uniqlo UT Short Sleeve Graphic T-shirt Set (Asia Sizing) White/BlackLowest AskCA$87,https://stockx.com/kaws-x-uniqlo-ut-short-sleeve-graphic-t-shirt-set-asia-sizing-white-black,KAWS x Uniqlo UT Short Sleeve Graphic T-shirt Set (Asia Sizing),"Please note: The retail tags on your product will determine its regional sizing, APAC items will be listed as KR, JP, CN, SG.",87,White/Black,https://images.stockx.com/images/KAWS-x-Uniqlo-UT-Short-Sleeve-Graphic-T-shirt-Set-Asia-Sizing-White-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1694713968&q=60,KAWS
1720555631-9,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Denim Tears The Cotton Wreath Sweatshirt BlackLowest AskCA$362,https://stockx.com/denim-tears-the-cotton-wreath-sweatshirt-black,Denim Tears The Cotton Wreath Sweatshirt,"The Denim Tears The Cotton Wreath Sweatshirt Black is part of the Denim Tears clothing line, which was created by Tremaine Emory.



 
The Cotton Wreath Sweatshirt Blackade is made from 100% premium cotton material and features a hood and front pocket. The sweatshirt features a ribbed crew neckline, cuff, and hem, which provides a snug fit and extra support and comfort. The sleeves of the sweatshirt are relaxed, allowing a range of motion for the wearer. There is a comfortable fleece lining inside the sweatshirt which provides extra insulation and warmth, making it perfect for colder weather conditions.



 
We think that the notable feature of the Denim Tears The Cotton Wreath Sweatshirt Black is its graphic design of a cotton wreath, which is printed throughout. The geometric graphic is printed with high-quality ink that will not easily fade, crack, or peel off during regular wear and wash. The sweatshirt was released on January 24th, 2023, at a retail price of $210.",362,Black,https://images.stockx.com/images/Denim-Tears-The-Cotton-Wreath-Sweatshirt-Black-Sweatshirt-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1708026108&q=60,Other Brands
1720555633-10,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Fear of God Essentials T-shirt (SS22) Light OatmealLowest AskCA$61,https://stockx.com/fear-of-god-essentials-t-shirt-ss22-light-oatmeal,Fear of God Essentials T-shirt (SS22),"The SS22 is a light oatmeal T-shirt by the Fear of God Essentials.




The Fear of God Essentials Light Oatmeal tee is made of skin-friendly and breathable 100% cotton fabric. It has a round neckline that has a frontal neck drop. The tee has a small black Fear of God logo on the front left chest. It also features a similar but larger reflective logo at the back. The shirt has a straight hemline with open sleeves that enhance free movement.




The release date for this SS22 T-shirt was 15th June 2022, with a $40 retail price.",61,Light Oatmeal,https://images.stockx.com/images/Fear-of-God-Essentials-T-shirt-SS22-Light-Oatmeal.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1655316458&q=60,Fear of God
1720555636-11,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/BlackLowest AskCA$152,https://stockx.com/fear-of-god-essentials-3d-silicon-applique-pullover-hoodie-dark-slate,Fear of God Essentials Pullover Hoodie Applique Logo,"If all of your favorite jawns are black, this FOG Essentials hoodie is for you. Similar to other colorways, the Dark Slate version of this hoodie features a black Fear Of God Essentials logo on the chest and one of the sleeves. For those not super into logos, but still in love with This Fear of God Essentials collection, the brandmark fades into the color of the hoodie itself, making it less visible than other colorways. This black Fear Of God Essentials hoodie released on July 1st, 2020, at a retail price of $90 USD.",152,Dark Slate/Stretch Limo/Black,https://images.stockx.com/images/FEAR-OF-GOD-ESSENTIALS-3D-Silicon-Applique-Pullover-Hoodie-Dark-Slate.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1625866190&q=60,Fear of God
1720555638-12,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Fear of God Essentials Arch Logo Tee Jet BlackLowest AskCA$63,https://stockx.com/fear-of-god-essentials-tee-black,Fear of God Essentials Arch Logo Tee,"The Fear of God Essentials tee shirt has been redesigned with increased volume in the body and sleeves, providing additional drape and comfort. A revised rib-knit collar sits higher on the neckline, adding structured formality. The curved Essentials Fear of God logo is vintage-inspired but updated in a rubberized soft-touch applique. A new Fear of God rubberized label is at the back collar.",63,Jet Black,https://images.stockx.com/images/Fear-of-God-Essentials-Tee-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1686151920&q=60,Fear of God
1720555641-13,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Fear of God Essentials Pullover Chest Logo Hoodie Stretch Limo/BlackLowest AskCA$102,https://stockx.com/fear-of-god-essentials-pullover-hoodie-fw22-stretch-limo-black,Fear of God Essentials Pullover Chest Logo Hoodie,"The Fear of God Essentials Pullover Hoodie Stretch Limo Black is a must-have for any fashion-forward individual. Made from a blend of cotton and polyester, this hoodie is both comfortable and durable. The stretchy material ensures a perfect fit, while the black color gives it a sleek and stylish look. This hoodie features a classic pullover design with a kangaroo pocket. The Fear of God Essentials logo is printed on the chest, adding a touch of branding to the overall design. The ribbed cuffs and hem provide a snug fit, keeping you warm and cozy during colder weather. The hoodie is versatile enough to be worn with jeans, joggers, or even shorts, making it a great addition to any outfit. Something we love about Fear of God Essentials Pullover Hoodie Stretch Limo Black is its understated yet stylish design. The hoodie made its debut on December 29, 2022, and it retailed for $90.",102,Stretch Limo/Black,https://images.stockx.com/images/Fear-of-God-Essentials-Pullover-Hoodie-FW22-Stretch-Limo-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1672342320&q=60,Fear of God
